session_id,time,value,peak_opacity,opacity_change_rate,significant_changes,duration,ambient_light_level,clearing_time,timestamp
,3742.0,240.0,,,,,,,
,3842.0,240.0,,,,,,,
,3942.0,192.0,,,,,,,
,4043.0,224.0,,,,,,,
,4143.0,240.0,,,,,,,
,4244.0,224.0,,,,,,,
,4344.0,240.0,,,,,,,
,4445.0,192.0,,,,,,,
,4545.0,224.0,,,,,,,
,4646.0,224.0,,,,,,,
,4746.0,240.0,,,,,,,
ID131018,38.0,1056.0,,,,,,,
ID131018,167.0,1056.0,,,,,,,
ID131018,296.0,1056.0,,,,,,,
ID131018,425.0,1056.0,,,,,,,
ID131018,553.0,1072.0,,,,,,,
ID131018,682.0,1056.0,,,,,,,
ID131018,811.0,1072.0,,,,,,,
ID131018,940.0,1056.0,,,,,,,
ID131018,1068.0,1056.0,,,,,,,
ID131018,1197.0,1056.0,,,,,,,
ID131018,1326.0,1056.0,,,,,,,
ID131018,1455.0,1056.0,,,,,,,
ID131018,1583.0,1056.0,,,,,,,
ID131018,1712.0,1056.0,,,,,,,
ID131018,1841.0,1056.0,,,,,,,
ID131018,1970.0,1056.0,,,,,,,
ID131018,2099.0,1072.0,,,,,,,
ID131018,2227.0,1072.0,,,,,,,
ID131018,2356.0,1072.0,,,,,,,
